7:122839,114279,105801,70405,80078,92103,66042,47219,22825,117997
18:85561,17608,85564,63512,32205,16042,92344,78319,37486,35808
36:71636,55719,31412,82749,40021,120333,73480,71464,67743,59136
37:96047,79403,79204,77413,76063,67027,66686,42968,41229,31020
41:92939,89544,69968,69913,46913,29237,120108,120074,116614,108125
42:98777,55185,29825,18263,93324,85904,79672,79108,78985,78364
43:79299,9563,85087,48968,30603,69368,27647,103129,83049,25830
44:123320,59139,40166,19374,100333,87873,85730,85673,78424,77939
45:47964,106466,78863,44900,36181,114129,110167,79096,26793,53818
46:72929,71636,55719,95886,95410,85215,80379,77953,72247,71363
59:95935,92714,88614,84421,78809,74328,74205,72390,69177,62897
60:116877,58493,4161,26557,103055,46892,9586,85631,74641,33755
69:85739,72631,70916,68176,56669,52679,98026,94226,93274,89115
70:55275,99235,97215,90,78617,71012,63319,44553,34308,29781
94:96976,95671,84165,80717,71472,6271,60699,59359,555,48917
106:83995,78831,7758,70274,66867,63357,62687,59658,4658,43368
115:46330,104389,97669,82710,80045,55444,52878,50195,22976,66652
116:82524,55573,47704,12515,117322,110146,19277,89069,77868,63283
142:98680,92028,83684,56065,54857,54096,35997,29627,22549,122799
143:9547,85640,81237,70938,66665,591,5746,5662,54720,45649
148:21425,15798,41568,35463,105789,92557,112620,95001,92862,85812
150:89403,23457,27039,75109,31741,27382,2550,20733,14382,98392
156:85727,81674,66268,63261,63055,62239,59570,52043,47444,29641
161:98107,57615,45141,43175,33314,29131,120236,109720,105657,82146
171:75601,97220,93405,61406,117297,30964,118189,99819,76093,68998
172:81964,93259,74140,85010,96600,86229,8488,84756,7290,72465
174:57606,38437,19585,122852,115036,109231,91046,87724,83263,78778
177:36604,81309,66884,75204,44887,38125,30272,114390,106523,5709
196:46330,73792,69161,19735,26607,24891,104452,64447,98067,97360
202:92095,73085,62931,50582,42751,29360,19641,16008,94560,83366
211:122005,74784,64225,63094,41897,39320,23147,118581,115885,110439
217:98777,55185,29825,93324,85904,79672,79108,78985,78364,62785
220:1812,58738,2097,15660,7649,13192,68179,91800,294,39446
223:90510,78119,66018,45226,23634,112936,107466,106309,67512,52224
224:8935,80776,6408,44267,64543,61573,2582,76289,27004,1831
225:91647,88815,75413,28894,15045,31363,49148,92893,79993,57691
228:98732,80589,80317,66562,86623,17090,11449,90205,87141,84733
229:61781,108646,81991,122807,121720,98829,84056,64709,118258,10480
231:11632,14397,91999,71818,52523,51676,119446,8438,6858,24626
232:99135,86134,85366,83516,78975,77677,73208,62228,60364,5844
238:25387,99524,93696,87434,71081,66781,64516,116203,113552,112002
241:83935,66489,52074,46130,19601,103549,9714,96374,74170,44223
245:80508,35859,2677,14059,12895,114452,62162,8588,81,262
249:40839,25777,27523,118341,78574,59561,114518,91647,45964,93714
250:96230,94051,57052,81097,50406,89826,102070,95340,96499,36574
253:36346,35416,33562,24348,121651,40555,95232,81055,106333,93551
257:56633,48479,5181,81102,8858,80516,71900,65851,52248,9586
272:65625,13055,71933,115235,113681,98225,31712,111279,104743,89048
273:3363,23387,17715,96647,35859,80377,46231,4438,101745,107478
288:59748,40823,113840,95340,36512,98317,76266,6934,44285,43795
290:880,76626,72685,59253,51665,37792,16774,122055,117104,114328
291:88392,40381,39012,120066,80526,106517,18578,90350,77886,55113
292:96647,35859,93691,91275,61339,26786,75204,38125,30272,114390
294:45712,41197,6853,48479,105093,81031,63081,54924,51938,84757
328:97514,96887,96861,95573,94468,94374,94227,93389,92821,92514
331:55248,12576,7911,61760,61517,33530,20258,15363,102194,78171
345:1754,100590,77581,92129,83173,3250,28511,16881,62840,39936
361:27523,93469,20025,58354,4234,122610,115460,93412,85652,82369
376:88719,58995,46172,17682,28778,82668,69185,102368,51014,116877
384:46371,73924,98892,95527,85682,83442,33769,27823,9251,99
401:99994,88716,83055,61410,6136,41750,21855,11874,107147,6853
402:85010,89403,75595,23457,15492,47546,5181,8858,80516,71900
410:7857,69659,18404,103826,32556,13338,114594,111009,96039,87526
448:57894,56948,17532,13551,12807,110038,99425,72901,713,69107
449:95001,92862,85812,83888,82925,81267,80923,63277,53435,50669
450:85669,44431,104028,67315,99881,73563,66388,60433,58138,55346
452:86436,50599,17100,15808,112343,71603,36183,56536,90733,81165
476:91432,82839,78603,68244,62415,59032,55896,51177,45807,44809
488:94965,74420,65453,63409,53070,49619,47287,44561,35661,20310
490:104389,90510,78119,67405,66018,45226,27555,23634,112936,107466
494:89581,89284,7490,66158,63550,53876,5238,122528,97274,85184
500:97179,41534,22811,120248,117739,113339,96803,84985,84976,79480
514:98104,95127,62204,46405,21800,15616,123065,102401,99077,91814
525:9634,36458,28764,14850,96982,39903,118278,17789,82749,40021
535:123136,48648,98596,18493,33749,105093,100625,81309,6639,13142
536:63645,40869,82790,78887,44206,108244,61425,5608,9323,71398
538:94629,77742,73557,70321,70317,55004,47169,46326,121500,117360
539:72442,69416,63548,39158,24721,70080,6853,17549,104337,86417
564:48479,91173,49777,16445,43752,118641,91472,81528,78105,59534
582:94654,61764,94281,57335,14303,118767,117665,108047,105050,77987
585:72405,65983,54487,4452,29878,1529,44829,29340,115815,105161
590:48479,119366,20025,6853,98558,79551,68834,47791,116275,29096
601:94414,90819,90054,75023,69110,67228,48912,31717,27912,226
618:92131,17840,93353,9015,8453,73969,43799,20603,122980,51665
624:94631,83867,78655,74444,6852,49490,13763,101287,98203,95589
627:31221,15675,122655,120390,83175,928,8588,8511,8283,731
628:84119,75280,65861,6526,608,39233,21488,999,9916,991
632:59361,42713,99488,59552,56716,41580,24572,23105,11008,31195
633:90056,48161,32531,12401,59006,98650,111887,106503,98892,95527
634:54542,53199,3878,2902,119066,98888,93073,82039,80282,75342
646:8993,83724,83231,79374,74629,60298,3761,108047,101945,73298
666:99707,99282,92072,91498,88204,85953,85048,84904,83967,83885
667:99694,71526,62962,37150,22793,94039,85938,69480,68495,52341
669:94180,103327,98042,77369,53117,46525,42575,29019,2614,16439
678:88855,82096,55135,37662,36650,100838,98876,80787,72258,62878
680:80377,35454,28315,23975,20090,15174,64668,107340,62425,52501
681:93435,57420,52933,25684,98307,53529,51212,32458,29515,22018
682:99502,97487,80157,75250,59307,52216,50457,46918,39764,35526
683:669,97127,866,71448,69187,45128,27552,226,112536,98966
684:9935,87528,86509,62346,59404,58444,53182,119675,111529,10865
715:101827,72609,6394,76824,4313,16331,59850,36991,782,52540
716:117515,98230,71525,48223,27162,20638,109271,34565,53895,20025
741:89822,88647,86896,55392,3592,22841,120393,105597,10865,106310
750:98680,92028,83684,56065,54857,35997,29627,22549,122799,85678
754:7481,53392,2384,15353,13482,115307,96864,93210,119134,5181
756:107977,63684,73635,28778,58333,3363,23387,17715,87687,47011
757:47161,25728,84976,35190,17072,25072,107887,10446,477,82374
758:79423,111363,94123,46128,34823,70858,34270,18433,37677,28443
763:49094,44519,29404,119024,116700,112823,20151,105093,122025,121216
773:90492,118548,105379,48438,43971,43951,23756,107130,98118,8363
774:96830,82108,76591,7570,48577,34244,29028,92182,88149,76710
775:43549,36121,12429,90510,78119,67405,66018,45226,23634,112936
782:100244,77332,72666,29587,122063,110076,1052,111491,94104,67628
784:97904,94930,6953,60097,38709,122469,121192,120766,118221,90510
793:92837,90873,67791,46170,29609,25590,123156,117367,94418,67636
803:34983,122705,70483,56180,48209,122355,45422,82046,40517,94816
813:92932,62817,34151,102096,55081,38883,37319,21108,106607,46330
815:94166,33304,113938,58992,58861,109677,58106,70655,78122,56647
817:71933,59285,106435,70405,89048,92069,15650,80078,78574,114518
818:92117,49529,117415,9612,7484,45719,2518,20006,18870,15426
823:8675,85090,82284,73405,57607,48511,46153,103784,64891,101594
825:95837,33690,97769,95021,86648,79627,76722,76698,70971,58669
833:94059,63699,59325,51202,32533,107164,100533,78584,36512,35467
835:118454,98166,89434,72414,60386,33021,92947,87883,83837,71261
838:81892,84808,45281,28371,113566,80190,74588,7418,30272,11367
844:48479,93469,116962,114139,85652,82369,46429,26113,17115,122227
850:97627,69292,68994,65710,58396,58021,55632,51154,43587,39529
856:98962,96946,94034,93902,93395,9156,88871,88330,87972,82228
857:23078,99766,88560,79830,74233,69612,69517,56061,43478,25360
874:98357,93200,88244,87636,86868,78398,75668,75509,75086,70826
891:99862,99791,99726,99669,99365,99103,99090,98847,978,97099
899:43883,121373,73560,54516,48210,74165,73302,90812,88994,86755
900:95289,885,7056,347,33572,31315,19829,19330,16995,14021
911:68928,26220,19339,58041,98311,84202,60771,43375,37143,17632
918:118991,23394,17691,14594,44321,74120,35940,32396,29216,67837
925:9054,80485,70772,60730,48611,20352,93298,91456,80834,57712
926:6853,70015,87393,109215,10318,76294,69243,37382,107352,20025
937:104389,95343,93208,83051,8195,34031,14258,103051,92932,62817
964:97819,9167,84404,6991,30566,122251,112774,109992,106286,104809
970:83571,84198,116694,107736,75359,60987,14623,102417,50760,26157
977:91236,89959,85967,85922,72866,62000,51381,33886,115877,107604
981:8321,15992,90878,62607,5323,47550,99524,93696,87434,79854
982:48889,106498,19027,113167,6352,28625,106471,88979,70363,70337
984:83492,53252,39631,105793,11369,91845,85059,78245,65815,5836
992:14310,26422,8490,72129,49064,30948,16138,69436,115707,110382
993:89048,83666,49584,31952,34122,31152,28862,79378,122490,78567
998:26607,24891,104452,60405,2205,89188,51665,31935,77840,87329
1000:88852,83297,75636,71578,70710,65223,4751,40240,3875,3720
1007:76189,60248,5181,42800,32783,109995,20901,116307,109197,70535
1027:18804,70680,11952,50679,114431,103465,100635,22156,18404,103826
1028:85126,62193,59223,92069,70405,63033,28102,117972,12198,89392
1044:20025,9431,5494,38295,64656,6084,56684,89465,45254,74431
1045:75229,91173,49777,33976,70751,54567,15485,112108,58852,23744
1049:86232,56859,46113,42155,13005,94780,86560,85545,85243,79505
1068:93092,74650,66298,47217,45275,39925,34771,30600,122517,102444
1069:91192,85678,83518,68076,59661,31498,28213,16612,15087,114299
1070:97892,95619,91808,88626,86760,84729,67217,66093,44369,33587
1082:105093,87245,111540,111395,105855,20025,48479,82948,63900,63857
1083:87395,8272,8,75042,71491,654,650,62335,610,61
1088:98777,55185,29825,96657,8387,76781,73063,31051,25366,105077
1094:90510,78119,66018,45226,23634,112936,107466,106309,6853,95343
1116:109284,9656,63450,64734,73861,104619,79378,40945,39109,122490
1121:70332,873,7725,6715,6,49276,2739,273,20884,1744
1125:27243,19088,94137,86020,62573,58355,47919,41097,38300,3444
1127:89109,8458,73332,68249,63590,57539,55757,44946,43534,35192
1132:62263,34511,113788,76528,40042,10406,77446,46630,94361,81405
1133:99989,62853,52866,26430,14221,105998,34031,14258,103051,90510
1140:29422,27266,58799,123320,85010,55739,87873,85730,85673,78424
1141:62071,7688,71131,52598,15801,11990,102839,92047,65379,120517
1148:89979,72343,71197,61787,5356,25380,99417,94583,76381,44314
1153:85522,104070,87894,61557,121255,93568,48536,64566,50059,44469
1166:88979,64437,33288,27803,15354,9270,51008,44463,19661,15214
1172:61647,76990,34015,23570,22704,15311,117734,54305,43549,36121
1192:81099,46567,26757,74898,73203,62830,61667,2417,19269,122568
1204:77764,77506,7374,59018,45496,121896,59561,98935,8880,118045
1208:72204,9898,86083,54507,37760,123087,111783,40021,83711,67806
1209:102302,84990,67460,57208,51157,91659,76969,73036,72385,68868
1234:9984,98150,8573,19789,102967,93044,64828,48220,3260,72400
1236:86493,68666,68087,61635,57068,46806,41539,31438,118539,113169
1245:47802,120885,42909,108056,101972,93800,4552,44045,33057,14127
1263:99920,6433,56331,46905,5181,74926,96494,88632,69222,67090
1267:41831,114483,32659,69014,46721,13293,52283,16926,34815,1204
1269:42849,40555,47889,6188,11421,10977,92848,61868,102042,112023
1288:94291,8213,73561,35152,34083,122173,114791,109663,67016,398
1295:79361,77201,45075,34442,104609,97274,81031,63081,54924,51938
1296:89316,73635,5838,117678,56641,2362,24991,67831,57109,48128
1302:95340,77261,60371,52457,15174,67750,53813,40844,120522,20025
1305:62263,34511,51954,46701,40664,109869,92208,74513,65814,62724
1342:77886,46876,46308,119053,118798,114729,112264,94747,84684,7218
1382:79752,64625,52840,15005,123109,81019,116895,40042,16445,10962
1389:56417,518,95032,85140,61636,36171,33995,238,75115,94835
1391:104871,26376,89015,66418,38549,26434,121315,84296,70612,116500
1397:611,114049,29217,121956,102471,22745,119674,24053,89657,61658
1402:40839,97994,63772,45680,75601,82157,104945,10001,9442,27413
1405:4697,96890,92558,24722
